service_id,date,exception_type
F.279,20100618,1
P.279,20100618,1
W.279,20100618,1
8.279,20100619,1
B.279,20100619,1
S.279,20100619,1
9.279,20100620,1
C.279,20100620,1
U.279,20100620,1
2.279,20100621,1
7.279,20100621,1
A.279,20100621,1
W.279,20100621,1
f.279,20100621,1
p.279,20100621,1
2.279,20100622,1
7.279,20100622,1
A.279,20100622,1
W.279,20100622,1
f.279,20100622,1
p.279,20100622,1
2.279,20100623,1
7.279,20100623,1
A.279,20100623,1
W.279,20100623,1
f.279,20100623,1
p.279,20100623,1
2.279,20100624,1
7.279,20100624,1
A.279,20100624,1
W.279,20100624,1
f.279,20100624,1
p.279,20100624,1
2.279,20100625,1
7.279,20100625,1
A.279,20100625,1
F.279,20100625,1
P.279,20100625,1
W.279,20100625,1
8.279,20100626,1
B.279,20100626,1
S.279,20100626,1
9.279,20100627,1
C.279,20100627,1
U.279,20100627,1
2.279,20100628,1
7.279,20100628,1
A.279,20100628,1
W.279,20100628,1
f.279,20100628,1
p.279,20100628,1
2.279,20100629,1
7.279,20100629,1
A.279,20100629,1
W.279,20100629,1
f.279,20100629,1
p.279,20100629,1
2.279,20100630,1
7.279,20100630,1
A.279,20100630,1
W.279,20100630,1
f.279,20100630,1
p.279,20100630,1
2.279,20100701,1
7.279,20100701,1
A.279,20100701,1
W.279,20100701,1
f.279,20100701,1
p.279,20100701,1
2.279,20100702,1
7.279,20100702,1
A.279,20100702,1
F.279,20100702,1
P.279,20100702,1
W.279,20100702,1
8.279,20100703,1
B.279,20100703,1
S.279,20100703,1
U.279,20100704,1
c.279,20100704,1
